seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,time
0,"[0.         0.         0.         0.01351351 0.01351351 0.02702703
 0.02702703 0.04054054 0.04054054 0.05405405 0.08108108 0.2027027
 0.25675676 0.25675676 0.2972973  0.32432432 0.32432432 0.33783784
 0.36486486 0.44594595 0.47297297 0.48648649 0.48648649 0.51351351
 0.51351351 0.55405405 0.58108108 0.58108108 0.59459459 0.63513514
 0.64864865 0.64864865 0.67567568 0.67567568 0.75675676 0.81081081
 0.86486486 0.94594595 0.94594595 0.97297297 1.        ]","[0.         0.04761905 0.14285714 0.14285714 0.19047619 0.19047619
 0.23809524 0.23809524 0.47619048 0.47619048 0.47619048 0.47619048
 0.47619048 0.52380952 0.52380952 0.52380952 0.57142857 0.57142857
 0.57142857 0.57142857 0.57142857 0.57142857 0.61904762 0.61904762
 0.66666667 0.66666667 0.66666667 0.80952381 0.80952381 0.80952381
 0.85714286 0.9047619  0.9047619  0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 1.         1.         1.        ]",0.6914414414414414,"[0.23076923 0.22222222 0.2247191  0.22727273 0.22988506 0.23255814
 0.23529412 0.23809524 0.24390244 0.25       0.25316456 0.25641026
 0.25974026 0.26315789 0.27027027 0.27777778 0.28571429 0.27536232
 0.27941176 0.28358209 0.27272727 0.265625   0.27868852 0.28333333
 0.27118644 0.25862069 0.24561404 0.25454545 0.25925926 0.26415094
 0.26923077 0.25490196 0.26530612 0.25       0.25531915 0.26666667
 0.27272727 0.27906977 0.28571429 0.29268293 0.3        0.30769231
 0.32432432 0.33333333 0.31428571 0.33333333 0.34375    0.35483871
 0.36666667 0.34482759 0.37037037 0.4        0.41666667 0.43478261
 0.45454545 0.47619048 0.5        0.52631579 0.55555556 0.58823529
 0.625      0.71428571 0.76923077 0.75       0.72727273 0.7
 0.66666667 0.625      0.71428571 0.66666667 0.8        0.75
 1.         1.         1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095 0.9047619
 0.9047619  0.9047619  0.85714286 0.80952381 0.80952381 0.80952381
 0.76190476 0.71428571 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.61904762 0.61904762 0.57142857 0.57142857 0.57142857
 0.57142857 0.57142857 0.57142857 0.57142857 0.57142857 0.57142857
 0.57142857 0.57142857 0.52380952 0.52380952 0.52380952 0.52380952
 0.52380952 0.47619048 0.47619048 0.47619048 0.47619048 0.47619048
 0.47619048 0.47619048 0.47619048 0.47619048 0.47619048 0.47619048
 0.47619048 0.47619048 0.47619048 0.42857143 0.38095238 0.33333333
 0.28571429 0.23809524 0.23809524 0.19047619 0.19047619 0.14285714
 0.14285714 0.0952381  0.04761905 0.        ]",0.5356155291221489,0.7789473684210526,distal
1,"[0.         0.         0.         0.         0.         0.01724138
 0.01724138 0.05172414 0.05172414 0.06896552 0.06896552 0.0862069
 0.0862069  0.10344828 0.10344828 0.17241379 0.17241379 0.18965517
 0.18965517 0.20689655 0.22413793 0.29310345 0.29310345 0.34482759
 0.34482759 0.39655172 0.43103448 0.43103448 0.44827586 0.51724138
 0.53448276 0.53448276 0.56896552 0.60344828 0.60344828 0.62068966
 0.65517241 0.65517241 0.67241379 0.70689655 0.72413793 0.75862069
 0.79310345 0.82758621 0.89655172 0.9137931  1.        ]","[0.         0.03448276 0.06896552 0.13793103 0.20689655 0.20689655
 0.24137931 0.24137931 0.27586207 0.27586207 0.31034483 0.31034483
 0.4137931  0.4137931  0.51724138 0.51724138 0.55172414 0.55172414
 0.5862069  0.5862069  0.65517241 0.65517241 0.68965517 0.68965517
 0.72413793 0.72413793 0.72413793 0.79310345 0.79310345 0.79310345
 0.82758621 0.86206897 0.86206897 0.89655172 0.93103448 0.93103448
 0.93103448 0.96551724 0.96551724 0.96551724 0.96551724 0.96551724
 0.96551724 0.96551724 0.96551724 1.         1.        ]",0.7651605231866825,"[0.35365854 0.35       0.35443038 0.35897436 0.36363636 0.36842105
 0.37837838 0.38356164 0.38888889 0.4        0.4057971  0.41791045
 0.42424242 0.41538462 0.42857143 0.43548387 0.42622951 0.43103448
 0.44642857 0.43636364 0.43396226 0.45098039 0.46938776 0.47916667
 0.46808511 0.45652174 0.47727273 0.48837209 0.5        0.51219512
 0.5        0.51282051 0.52631579 0.54054054 0.52777778 0.54285714
 0.55882353 0.57575758 0.59375    0.5862069  0.60714286 0.59259259
 0.61538462 0.6        0.625      0.65217391 0.68181818 0.71428571
 0.7        0.68421053 0.66666667 0.70588235 0.6875     0.66666667
 0.64285714 0.69230769 0.66666667 0.72727273 0.7        0.875
 0.85714286 1.         1.         1.         1.         1.
 1.        ]","[1.         0.96551724 0.96551724 0.96551724 0.96551724 0.96551724
 0.96551724 0.96551724 0.96551724 0.96551724 0.96551724 0.96551724
 0.96551724 0.93103448 0.93103448 0.93103448 0.89655172 0.86206897
 0.86206897 0.82758621 0.79310345 0.79310345 0.79310345 0.79310345
 0.75862069 0.72413793 0.72413793 0.72413793 0.72413793 0.72413793
 0.68965517 0.68965517 0.68965517 0.68965517 0.65517241 0.65517241
 0.65517241 0.65517241 0.65517241 0.5862069  0.5862069  0.55172414
 0.55172414 0.51724138 0.51724138 0.51724138 0.51724138 0.51724138
 0.48275862 0.44827586 0.4137931  0.4137931  0.37931034 0.34482759
 0.31034483 0.31034483 0.27586207 0.27586207 0.24137931 0.24137931
 0.20689655 0.20689655 0.17241379 0.13793103 0.06896552 0.03448276
 0.        ]",0.6684671426083829,0.6666666666666666,distal
2,"[0.       0.       0.       0.015625 0.015625 0.0625   0.0625   0.078125
 0.078125 0.125    0.125    0.203125 0.203125 0.234375 0.25     0.28125
 0.28125  0.3125   0.328125 0.359375 0.359375 0.40625  0.40625  0.453125
 0.453125 0.515625 0.546875 0.5625   0.59375  0.59375  0.65625  0.65625
 0.71875  0.75     0.78125  0.828125 0.828125 0.859375 1.      ]","[0.         0.03333333 0.26666667 0.26666667 0.36666667 0.36666667
 0.46666667 0.46666667 0.5        0.5        0.53333333 0.53333333
 0.56666667 0.56666667 0.6        0.6        0.63333333 0.63333333
 0.66666667 0.66666667 0.7        0.7        0.73333333 0.73333333
 0.76666667 0.76666667 0.8        0.8        0.8        0.86666667
 0.86666667 0.9        0.9        0.9        0.9        0.9
 0.96666667 1.         1.        ]",0.7473958333333334,"[0.35294118 0.35365854 0.34567901 0.3375     0.34177215 0.34615385
 0.35064935 0.36       0.36486486 0.36986301 0.39130435 0.38235294
 0.3880597  0.39393939 0.4        0.40625    0.3968254  0.38709677
 0.4        0.40677966 0.41071429 0.42592593 0.44230769 0.43137255
 0.44       0.44897959 0.45833333 0.44680851 0.45652174 0.46666667
 0.47727273 0.46511628 0.47619048 0.48780488 0.48717949 0.5
 0.51351351 0.5        0.51428571 0.52941176 0.53125    0.5483871
 0.56666667 0.55172414 0.57142857 0.59259259 0.61538462 0.64
 0.66666667 0.65217391 0.68181818 0.71428571 0.75       0.73684211
 0.77777778 0.76470588 0.75       0.73333333 0.78571429 0.84615385
 0.91666667 0.90909091 0.9        0.88888889 1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.         0.96666667 0.93333333 0.9        0.9        0.9
 0.9        0.9        0.9        0.9        0.9        0.86666667
 0.86666667 0.86666667 0.86666667 0.86666667 0.83333333 0.8
 0.8        0.8        0.76666667 0.76666667 0.76666667 0.73333333
 0.73333333 0.73333333 0.73333333 0.7        0.7        0.7
 0.7        0.66666667 0.66666667 0.66666667 0.63333333 0.63333333
 0.63333333 0.6        0.6        0.6        0.56666667 0.56666667
 0.56666667 0.53333333 0.53333333 0.53333333 0.53333333 0.53333333
 0.53333333 0.5        0.5        0.5        0.5        0.46666667
 0.46666667 0.43333333 0.4        0.36666667 0.36666667 0.36666667
 0.36666667 0.33333333 0.3        0.26666667 0.26666667 0.23333333
 0.2        0.16666667 0.13333333 0.1        0.06666667 0.03333333
 0.        ]",0.6854552203157874,0.6808510638297872,distal
3,"[0.         0.         0.         0.01234568 0.01234568 0.03703704
 0.03703704 0.09876543 0.11111111 0.12345679 0.14814815 0.19753086
 0.20987654 0.24691358 0.28395062 0.2962963  0.32098765 0.32098765
 0.33333333 0.34567901 0.34567901 0.35802469 0.38271605 0.43209877
 0.50617284 0.50617284 0.54320988 0.61728395 0.64197531 0.67901235
 0.7037037  0.72839506 0.7654321  0.77777778 0.77777778 0.79012346
 0.82716049 0.85185185 0.92592593 0.95061728 1.        ]","[0.         0.04545455 0.27272727 0.27272727 0.31818182 0.31818182
 0.40909091 0.40909091 0.45454545 0.45454545 0.45454545 0.45454545
 0.5        0.5        0.54545455 0.59090909 0.59090909 0.68181818
 0.72727273 0.72727273 0.77272727 0.77272727 0.81818182 0.81818182
 0.81818182 0.86363636 0.86363636 0.86363636 0.86363636 0.86363636
 0.86363636 0.86363636 0.86363636 0.86363636 0.95454545 1.
 1.         1.         1.         1.         1.        ]",0.7508417508417509,"[0.25581395 0.25       0.24096386 0.23170732 0.2345679  0.24358974
 0.24675325 0.25       0.25675676 0.26760563 0.27142857 0.27536232
 0.28358209 0.29230769 0.3015873  0.30645161 0.31147541 0.31666667
 0.30508475 0.31034483 0.31578947 0.32142857 0.32727273 0.33333333
 0.33962264 0.35294118 0.36734694 0.36956522 0.37777778 0.36363636
 0.37209302 0.36585366 0.33333333 0.34210526 0.35135135 0.34285714
 0.35483871 0.36666667 0.37931034 0.39285714 0.38461538 0.4
 0.41666667 0.43478261 0.45454545 0.5        0.52631579 0.52941176
 0.5625     0.6        0.64285714 0.69230769 0.75       0.7
 0.77777778 0.875      0.85714286 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.95454545 0.90909091 0.86363636 0.86363636 0.86363636
 0.86363636 0.86363636 0.86363636 0.86363636 0.86363636 0.86363636
 0.86363636 0.86363636 0.86363636 0.86363636 0.86363636 0.86363636
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.77272727 0.77272727 0.72727273
 0.72727273 0.68181818 0.59090909 0.59090909 0.59090909 0.54545455
 0.5        0.5        0.5        0.5        0.45454545 0.45454545
 0.45454545 0.45454545 0.45454545 0.45454545 0.45454545 0.40909091
 0.40909091 0.40909091 0.40909091 0.40909091 0.40909091 0.31818182
 0.31818182 0.31818182 0.27272727 0.27272727 0.22727273 0.18181818
 0.13636364 0.09090909 0.04545455 0.        ]",0.5863977708635598,0.7864077669902912,distal
4,"[0.     0.     0.     0.0125 0.0125 0.025  0.0375 0.0375 0.05   0.075
 0.1375 0.15   0.2125 0.2375 0.25   0.275  0.275  0.3    0.3    0.3125
 0.3375 0.3375 0.35   0.3875 0.4    0.425  0.5    0.5125 0.55   0.5875
 0.6    0.6    0.6125 0.6375 0.6875 0.7125 0.7375 0.7375 0.775  0.7875
 0.875  0.9    0.9375 0.9625 1.    ]","[0.         0.04347826 0.13043478 0.13043478 0.34782609 0.34782609
 0.39130435 0.47826087 0.47826087 0.47826087 0.47826087 0.52173913
 0.52173913 0.56521739 0.56521739 0.56521739 0.60869565 0.65217391
 0.69565217 0.69565217 0.69565217 0.7826087  0.7826087  0.7826087
 0.82608696 0.82608696 0.82608696 0.86956522 0.86956522 0.86956522
 0.86956522 0.91304348 0.91304348 0.91304348 0.91304348 0.91304348
 0.91304348 0.95652174 0.95652174 1.         1.         1.
 1.         1.         1.        ]",0.7785326086956522,"[0.26744186 0.26190476 0.26506024 0.26829268 0.27160494 0.2625
 0.26582278 0.26923077 0.27631579 0.28       0.28378378 0.28767123
 0.29166667 0.3        0.30434783 0.29411765 0.29850746 0.3125
 0.31746032 0.32258065 0.32786885 0.3220339  0.32758621 0.33333333
 0.33928571 0.34545455 0.35185185 0.35849057 0.37254902 0.36734694
 0.39130435 0.4        0.38636364 0.37209302 0.3902439  0.4
 0.38461538 0.38888889 0.37142857 0.39393939 0.40625    0.4137931
 0.42857143 0.44444444 0.46153846 0.48       0.5        0.5
 0.52380952 0.55       0.57894737 0.61111111 0.64705882 0.73333333
 0.78571429 0.76923077 0.75       0.8        0.88888889 0.875
 0.85714286 0.83333333 0.8        0.75       1.         1.
 1.         1.        ]","[1.         0.95652174 0.95652174 0.95652174 0.95652174 0.91304348
 0.91304348 0.91304348 0.91304348 0.91304348 0.91304348 0.91304348
 0.91304348 0.91304348 0.91304348 0.86956522 0.86956522 0.86956522
 0.86956522 0.86956522 0.86956522 0.82608696 0.82608696 0.82608696
 0.82608696 0.82608696 0.82608696 0.82608696 0.82608696 0.7826087
 0.7826087  0.7826087  0.73913043 0.69565217 0.69565217 0.69565217
 0.65217391 0.60869565 0.56521739 0.56521739 0.56521739 0.52173913
 0.52173913 0.52173913 0.52173913 0.52173913 0.52173913 0.47826087
 0.47826087 0.47826087 0.47826087 0.47826087 0.47826087 0.47826087
 0.47826087 0.43478261 0.39130435 0.34782609 0.34782609 0.30434783
 0.26086957 0.2173913  0.17391304 0.13043478 0.13043478 0.08695652
 0.04347826 0.        ]",0.6073582843942861,0.7766990291262136,distal
5,"[0.       0.       0.       0.03125  0.03125  0.046875 0.046875 0.0625
 0.0625   0.078125 0.078125 0.109375 0.125    0.15625  0.1875   0.21875
 0.25     0.265625 0.28125  0.3125   0.328125 0.359375 0.390625 0.421875
 0.453125 0.484375 0.484375 0.53125  0.546875 0.578125 0.578125 0.59375
 0.609375 0.625    0.65625  0.6875   0.71875  0.75     0.75     0.78125
 0.8125   0.84375  1.      ]","[0.         0.04347826 0.08695652 0.08695652 0.30434783 0.30434783
 0.34782609 0.34782609 0.39130435 0.39130435 0.47826087 0.47826087
 0.52173913 0.52173913 0.52173913 0.56521739 0.56521739 0.56521739
 0.60869565 0.60869565 0.65217391 0.65217391 0.69565217 0.69565217
 0.69565217 0.69565217 0.7826087  0.7826087  0.82608696 0.82608696
 0.86956522 0.86956522 0.91304348 0.91304348 0.91304348 0.95652174
 0.95652174 0.95652174 1.         1.         1.         1.
 1.        ]",0.7469429347826086,"[0.32394366 0.31428571 0.31884058 0.32352941 0.33333333 0.33333333
 0.3442623  0.35       0.34482759 0.35087719 0.33928571 0.34545455
 0.35185185 0.34615385 0.36734694 0.34042553 0.35555556 0.36363636
 0.37209302 0.3902439  0.39473684 0.40540541 0.41666667 0.41176471
 0.42424242 0.4375     0.43333333 0.44827586 0.48148148 0.5
 0.54545455 0.57142857 0.6        0.61111111 0.64705882 0.6875
 0.66666667 0.64285714 0.69230769 0.66666667 0.72727273 0.7
 0.77777778 0.75       0.71428571 0.66666667 0.6        0.5
 0.66666667 1.         1.         1.        ]","[1.         0.95652174 0.95652174 0.95652174 0.95652174 0.91304348
 0.91304348 0.91304348 0.86956522 0.86956522 0.82608696 0.82608696
 0.82608696 0.7826087  0.7826087  0.69565217 0.69565217 0.69565217
 0.69565217 0.69565217 0.65217391 0.65217391 0.65217391 0.60869565
 0.60869565 0.60869565 0.56521739 0.56521739 0.56521739 0.52173913
 0.52173913 0.52173913 0.52173913 0.47826087 0.47826087 0.47826087
 0.43478261 0.39130435 0.39130435 0.34782609 0.34782609 0.30434783
 0.30434783 0.26086957 0.2173913  0.17391304 0.13043478 0.08695652
 0.08695652 0.08695652 0.04347826 0.        ]",0.5675247484023874,0.735632183908046,distal
6,"[0.         0.         0.         0.01315789 0.02631579 0.02631579
 0.02631579 0.03947368 0.03947368 0.07894737 0.13157895 0.14473684
 0.14473684 0.17105263 0.18421053 0.18421053 0.19736842 0.22368421
 0.25       0.26315789 0.30263158 0.35526316 0.39473684 0.42105263
 0.42105263 0.43421053 0.46052632 0.47368421 0.48684211 0.52631579
 0.55263158 0.56578947 0.59210526 0.60526316 0.61842105 0.64473684
 0.65789474 0.67105263 0.69736842 0.72368421 0.76315789 0.76315789
 0.77631579 0.80263158 0.88157895 0.88157895 1.        ]","[0.         0.04347826 0.08695652 0.08695652 0.13043478 0.2173913
 0.26086957 0.26086957 0.34782609 0.34782609 0.34782609 0.34782609
 0.47826087 0.47826087 0.47826087 0.56521739 0.56521739 0.56521739
 0.65217391 0.65217391 0.69565217 0.69565217 0.69565217 0.69565217
 0.73913043 0.73913043 0.73913043 0.7826087  0.7826087  0.7826087
 0.7826087  0.82608696 0.82608696 0.86956522 0.86956522 0.86956522
 0.86956522 0.91304348 0.91304348 0.91304348 0.91304348 0.95652174
 0.95652174 0.95652174 0.95652174 1.         1.        ]",0.7351258581235696,"[0.25555556 0.24719101 0.25       0.25287356 0.25581395 0.25882353
 0.26190476 0.26506024 0.27160494 0.275      0.26582278 0.26923077
 0.27272727 0.27631579 0.28378378 0.28767123 0.29166667 0.28571429
 0.28985507 0.29850746 0.3030303  0.296875   0.3015873  0.30645161
 0.3        0.30508475 0.31034483 0.32727273 0.33333333 0.32692308
 0.34       0.34693878 0.33333333 0.34782609 0.37209302 0.38095238
 0.3902439  0.4        0.41025641 0.42857143 0.44117647 0.4375
 0.43333333 0.46428571 0.48148148 0.44       0.45833333 0.5
 0.47619048 0.45       0.42105263 0.44444444 0.5        0.57142857
 0.61538462 0.66666667 0.72727273 0.7        0.66666667 0.75
 0.71428571 0.6        0.66666667 1.         1.         1.        ]","[1.         0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 0.95652174 0.95652174 0.95652174 0.95652174 0.91304348 0.91304348
 0.91304348 0.91304348 0.91304348 0.91304348 0.91304348 0.86956522
 0.86956522 0.86956522 0.86956522 0.82608696 0.82608696 0.82608696
 0.7826087  0.7826087  0.7826087  0.7826087  0.7826087  0.73913043
 0.73913043 0.73913043 0.69565217 0.69565217 0.69565217 0.69565217
 0.69565217 0.69565217 0.69565217 0.65217391 0.65217391 0.60869565
 0.56521739 0.56521739 0.56521739 0.47826087 0.47826087 0.47826087
 0.43478261 0.39130435 0.34782609 0.34782609 0.34782609 0.34782609
 0.34782609 0.34782609 0.34782609 0.30434783 0.26086957 0.26086957
 0.2173913  0.13043478 0.08695652 0.08695652 0.04347826 0.        ]",0.5215611618626751,0.7676767676767676,distal
7,"[0.         0.         0.         0.02816901 0.02816901 0.07042254
 0.07042254 0.07042254 0.11267606 0.14084507 0.14084507 0.16901408
 0.18309859 0.23943662 0.26760563 0.29577465 0.33802817 0.36619718
 0.45070423 0.49295775 0.50704225 0.53521127 0.5915493  0.6056338
 0.63380282 0.67605634 0.70422535 0.74647887 0.77464789 0.78873239
 0.81690141 0.84507042 0.87323944 0.88732394 0.91549296 0.97183099
 0.97183099 1.        ]","[0.   0.05 0.2  0.25 0.3  0.3  0.45 0.65 0.65 0.75 0.8  0.8  0.85 0.85
 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.9  0.9  0.95 0.95 0.95 0.95 0.95
 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 1.   1.  ]",0.8401408450704225,"[0.2247191  0.21590909 0.2183908  0.22093023 0.22352941 0.22619048
 0.23170732 0.2345679  0.24050633 0.24358974 0.24675325 0.25333333
 0.25675676 0.26388889 0.26760563 0.27142857 0.27536232 0.28358209
 0.28787879 0.29230769 0.296875   0.30645161 0.3        0.30508475
 0.31034483 0.31578947 0.32142857 0.32075472 0.32692308 0.34693878
 0.35416667 0.36170213 0.36956522 0.37777778 0.38636364 0.39534884
 0.41463415 0.44736842 0.45945946 0.47222222 0.5        0.51515152
 0.53125    0.5483871  0.56666667 0.57142857 0.59259259 0.61538462
 0.6        0.60869565 0.61904762 0.65       0.68421053 0.72222222
 0.6875     0.64285714 0.61538462 0.58333333 0.54545455 0.6
 0.66666667 0.75       0.71428571 1.         1.         1.
 1.         1.        ]","[1.   0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95
 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.9  0.9  0.9  0.9  0.9  0.85
 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85
 0.85 0.85 0.85 0.8  0.8  0.8  0.75 0.7  0.65 0.65 0.65 0.65 0.55 0.45
 0.4  0.35 0.3  0.3  0.3  0.3  0.25 0.2  0.15 0.1  0.05 0.  ]",0.668432573499292,0.7802197802197802,distal
8,"[0.         0.         0.01315789 0.03947368 0.03947368 0.06578947
 0.06578947 0.07894737 0.07894737 0.09210526 0.09210526 0.10526316
 0.10526316 0.13157895 0.13157895 0.14473684 0.14473684 0.17105263
 0.19736842 0.22368421 0.22368421 0.25       0.31578947 0.32894737
 0.35526316 0.39473684 0.39473684 0.40789474 0.43421053 0.46052632
 0.48684211 0.5        0.5        0.52631579 0.57894737 0.69736842
 0.72368421 0.72368421 0.75       0.77631579 0.80263158 0.82894737
 0.84210526 0.89473684 0.92105263 1.        ]","[0.         0.04347826 0.04347826 0.04347826 0.17391304 0.17391304
 0.26086957 0.26086957 0.30434783 0.30434783 0.39130435 0.39130435
 0.43478261 0.43478261 0.52173913 0.52173913 0.56521739 0.56521739
 0.56521739 0.56521739 0.65217391 0.65217391 0.65217391 0.69565217
 0.69565217 0.69565217 0.7826087  0.7826087  0.82608696 0.82608696
 0.82608696 0.82608696 0.86956522 0.86956522 0.86956522 0.86956522
 0.86956522 0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 1.         1.         1.         1.        ]",0.7482837528604119,"[0.26436782 0.25882353 0.26190476 0.26506024 0.27160494 0.275
 0.27848101 0.28571429 0.27631579 0.26666667 0.2739726  0.27777778
 0.28169014 0.28571429 0.28985507 0.29411765 0.29850746 0.3030303
 0.30769231 0.3125     0.32258065 0.33333333 0.33898305 0.34482759
 0.33333333 0.33928571 0.35185185 0.35849057 0.36538462 0.36734694
 0.375      0.34782609 0.37209302 0.38095238 0.3902439  0.38461538
 0.39473684 0.40540541 0.41666667 0.42857143 0.44117647 0.46875
 0.4516129  0.43333333 0.44827586 0.46428571 0.5        0.52
 0.54166667 0.52173913 0.54545455 0.52380952 0.5        0.52631579
 0.55555556 0.52941176 0.5625     0.53333333 0.5        0.53846154
 0.5        0.54545455 0.5        0.44444444 0.5        0.57142857
 0.5        0.4        0.25       0.5        1.         1.        ]","[1.         0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 0.95652174 0.95652174 0.91304348 0.86956522 0.86956522 0.86956522
 0.86956522 0.86956522 0.86956522 0.86956522 0.86956522 0.86956522
 0.86956522 0.86956522 0.86956522 0.86956522 0.86956522 0.86956522
 0.82608696 0.82608696 0.82608696 0.82608696 0.82608696 0.7826087
 0.7826087  0.69565217 0.69565217 0.69565217 0.69565217 0.65217391
 0.65217391 0.65217391 0.65217391 0.65217391 0.65217391 0.65217391
 0.60869565 0.56521739 0.56521739 0.56521739 0.56521739 0.56521739
 0.56521739 0.52173913 0.52173913 0.47826087 0.43478261 0.43478261
 0.43478261 0.39130435 0.39130435 0.34782609 0.30434783 0.30434783
 0.26086957 0.26086957 0.2173913  0.17391304 0.17391304 0.17391304
 0.13043478 0.08695652 0.04347826 0.04347826 0.04347826 0.        ]",0.47456005124784983,0.7676767676767676,distal
9,"[0.         0.         0.         0.01449275 0.02898551 0.07246377
 0.07246377 0.1884058  0.2173913  0.2173913  0.26086957 0.26086957
 0.27536232 0.30434783 0.30434783 0.34782609 0.34782609 0.36231884
 0.4057971  0.4057971  0.42028986 0.44927536 0.47826087 0.50724638
 0.52173913 0.55072464 0.5942029  0.62318841 0.63768116 0.63768116
 0.66666667 0.68115942 0.71014493 0.73913043 0.76811594 0.8115942
 0.8115942  0.82608696 0.82608696 0.88405797 0.91304348 1.        ]","[0.         0.05263158 0.21052632 0.21052632 0.26315789 0.26315789
 0.31578947 0.31578947 0.31578947 0.42105263 0.42105263 0.47368421
 0.47368421 0.47368421 0.52631579 0.52631579 0.63157895 0.68421053
 0.68421053 0.84210526 0.84210526 0.84210526 0.84210526 0.84210526
 0.84210526 0.84210526 0.84210526 0.84210526 0.84210526 0.89473684
 0.89473684 0.89473684 0.89473684 0.89473684 0.89473684 0.89473684
 0.94736842 0.94736842 1.         1.         1.         1.        ]",0.7032799389778795,"[0.25       0.24       0.24324324 0.23287671 0.23611111 0.23943662
 0.24285714 0.25       0.25373134 0.25757576 0.265625   0.26984127
 0.27868852 0.26666667 0.27118644 0.28070175 0.28571429 0.29090909
 0.2962963  0.30769231 0.31372549 0.32653061 0.33333333 0.34042553
 0.35555556 0.36363636 0.34883721 0.33333333 0.31707317 0.325
 0.33333333 0.34210526 0.33333333 0.29411765 0.32258065 0.3
 0.32142857 0.33333333 0.30769231 0.32       0.33333333 0.34782609
 0.31818182 0.28571429 0.31578947 0.33333333 0.35294118 0.375
 0.4        0.42857143 0.46153846 0.5        0.54545455 0.5
 0.55555556 0.625      0.71428571 0.8        1.         1.
 1.         1.         1.        ]","[1.         0.94736842 0.94736842 0.89473684 0.89473684 0.89473684
 0.89473684 0.89473684 0.89473684 0.89473684 0.89473684 0.89473684
 0.89473684 0.84210526 0.84210526 0.84210526 0.84210526 0.84210526
 0.84210526 0.84210526 0.84210526 0.84210526 0.84210526 0.84210526
 0.84210526 0.84210526 0.78947368 0.73684211 0.68421053 0.68421053
 0.68421053 0.68421053 0.63157895 0.52631579 0.52631579 0.47368421
 0.47368421 0.47368421 0.42105263 0.42105263 0.42105263 0.42105263
 0.36842105 0.31578947 0.31578947 0.31578947 0.31578947 0.31578947
 0.31578947 0.31578947 0.31578947 0.31578947 0.31578947 0.26315789
 0.26315789 0.26315789 0.26315789 0.21052632 0.21052632 0.15789474
 0.10526316 0.05263158 0.        ]",0.4951669867001691,0.7840909090909091,distal
