,param_C,param_gamma,mean_test_score
0,0.0001,1e-05,0.7566666666666667
1,0.0001,0.00014677992676220705,0.7566666666666667
2,0.0001,0.0021544346900318843,0.7566666666666667
3,0.0001,0.03162277660168379,0.7566666666666667
4,0.0001,0.4641588833612782,0.7566666666666667
5,0.0001,6.812920690579622,0.7566666666666667
6,0.0001,100.0,0.7566666666666667
7,0.0014677992676220704,1e-05,0.7566666666666667
8,0.0014677992676220704,0.00014677992676220705,0.7566666666666667
9,0.0014677992676220704,0.0021544346900318843,0.7566666666666667
10,0.0014677992676220704,0.03162277660168379,0.7566666666666667
11,0.0014677992676220704,0.4641588833612782,0.7566666666666667
12,0.0014677992676220704,6.812920690579622,0.7566666666666667
13,0.0014677992676220704,100.0,0.7566666666666667
14,0.021544346900318846,1e-05,0.7566666666666667
15,0.021544346900318846,0.00014677992676220705,0.7566666666666667
16,0.021544346900318846,0.0021544346900318843,0.7566666666666667
17,0.021544346900318846,0.03162277660168379,0.7566666666666667
18,0.021544346900318846,0.4641588833612782,0.7566666666666667
19,0.021544346900318846,6.812920690579622,0.7566666666666667
20,0.021544346900318846,100.0,0.7566666666666667
21,0.31622776601683794,1e-05,0.7566666666666667
22,0.31622776601683794,0.00014677992676220705,0.7566666666666667
23,0.31622776601683794,0.0021544346900318843,0.7566666666666667
24,0.31622776601683794,0.03162277660168379,0.7566666666666667
25,0.31622776601683794,0.4641588833612782,0.7566666666666667
26,0.31622776601683794,6.812920690579622,0.7566666666666667
27,0.31622776601683794,100.0,0.7566666666666667
28,4.641588833612782,1e-05,0.7566666666666667
29,4.641588833612782,0.00014677992676220705,0.7566666666666667
30,4.641588833612782,0.0021544346900318843,0.7829166666666667
31,4.641588833612782,0.03162277660168379,0.7904166666666667
32,4.641588833612782,0.4641588833612782,0.7566666666666667
33,4.641588833612782,6.812920690579622,0.7566666666666667
34,4.641588833612782,100.0,0.7566666666666667
35,68.12920690579622,1e-05,0.7566666666666667
36,68.12920690579622,0.00014677992676220705,0.78875
37,68.12920690579622,0.0021544346900318843,0.7775
38,68.12920690579622,0.03162277660168379,0.7904166666666667
39,68.12920690579622,0.4641588833612782,0.7566666666666667
40,68.12920690579622,6.812920690579622,0.7566666666666667
41,68.12920690579622,100.0,0.7566666666666667
42,1000.0,1e-05,0.7883333333333333
43,1000.0,0.00014677992676220705,0.7570833333333333
44,1000.0,0.0021544346900318843,0.7804166666666666
45,1000.0,0.03162277660168379,0.7904166666666667
46,1000.0,0.4641588833612782,0.7566666666666667
47,1000.0,6.812920690579622,0.7566666666666667
48,1000.0,100.0,0.7566666666666667
